"STUDYID","DOMAIN","TSSEQ","TSGRPID","TSPARMCD","TSPARM","TSVAL","TSVALNF","TSVALCD","TSVCDREF","TSVCDVER"
"SPSNX","TS","1","","RANDDESC","Randomization Description","Amudat district contains 427 villages, which served as cluster units in the trial. Based on the required number of clusters for the non-inferiority and superiority aspects, the 427 village clusters were randomly assigned (4:4:1) to SPAQ (190 clusters), dihydroartemisinin�piperaquine (190 clusters), and control (47 clusters) groups. A three-stage cluster sampling procedure was used, with villages serving as clusters. Households in each village were mapped to create a cluster-level sampling frame, and ten households with at least one eligible child were selected using systematic random sampling. In each selected household, one eligible child was randomly selected and assigned a unique identification number.","","","",""
"SPSNX","TS","1","","RANDQT","Randomization Quotient","","UNK","","",""
"SPSNX","TS","1","","REGID","Registry Identifier","NCT05323721","","NCT05323721","ClinicalTrials.gov",""
"SPSNX","TS","1","","SENDTC","Study End Date","2022-11-01","","","ISO 8601",""
"SPSNX","TS","1","","SSTDTC","Study Start Date","2022-06-01","","","ISO 8601",""
"SPSNX","TS","1","","STRATFCT","Stratification Factor","","NA","","",""
"SPSNX","TS","1","","STRADESC","Stratification Description","","NA","","",""
"SPSNX","TS","1","","STYPE","Study Type","INTERVENTIONAL","","C98388","CDISC","2022-12-17"
"SPSNX","TS","1","","TBLIND","Trial Blinding Schema","OPEN LABEL","","C49659","CDISC","2021-12-17"
"SPSNX","TS","1","","TBLNDESC","Trial Blinding Description","We conducted a three arm, open-label, non-inferiority and superiority, cluster-randomised, controlled trial","","","",""
"SPSNX","TS","1","","TPHASE","Trial Phase Classification","PHASE IV TRIAL","","C15603","CDISC","2021-12-17"
"SPSNX","TS","1","","TRGFUDUR","Target Follow-Up Duration","P152D","","","ISO 8601",""
"SPSNX","TS","1","","PARSMPSC","Parasite Sampling Schedule","","UNK","","",""
"SPSNX","TS","1","","PARSMPFQ","Parasite Sampling Frequency","","UNK","","",""
"SPSNX","TS","1","","MICRODES","Microscopy Description","Incidence of confirmed malaria using either a rapid diagnostic test or microscopy","","","",""
"SPSNX","TS","1","","MICRONEG","Microscopy Negative Smear Rule","","NA","","",""
"SPSNX","TS","1","","PARSMWBC","Parasite Thick Smear Reading WBCs","","NA","","",""
"SPSNX","TS","1","","GAMSMWBC","Gametocyte Micro Thick Smear Reading","","NA","","",""
"SPSNX","TS","1","","PARSMRBC","Parasite Thin Smear Reading RBCs","","NA","","",""
"SPSNX","TS","1","","PARSMHPF","Parasite Reading HPFs","","NA","","",""
"SPSNX","TS","1","","GAMSMHPF","Gametocyte Reading HPFs","","NA","","",""
"SPSNX","TS","1","","MICROTYP","Microscopy Thick Smear WBC Type","","NA","","",""
"SPSNX","TS","1","","MICROWBC","Microscopy Assumed WBC","","NA","","",""
